"OBSERVED_PROPERTY_ID";"OBSERVED_PROPERTY_CODE";"OBSERVED_PROPERTY_NAME";"OBSERVING_FACILITY_CODE";"OBSERVING_FACILITY_NAME";"PHENOMEN_TIME";"REFERENCE_TIME";"UOM";"VALUE";"NUTS_LEVEL";"SECTOR_ID"
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DEA";"Land Nordrhein-Westfalen";"P1Y/2018-12-31";"2018-12-31";"kt/year";151.3;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DEB";"Land Rheinland-Pfalz";"P1Y/2018-12-31";"2018-12-31";"kt/year";38.1;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DEC";"Saarland";"P1Y/2018-12-31";"2018-12-31";"kt/year";4.7;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DED";"Freistaat Sachsen";"P1Y/2018-12-31";"2018-12-31";"kt/year";47.3;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DEE";"Land Sachsen-Anhalt";"P1Y/2018-12-31";"2018-12-31";"kt/year";46.6;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DEF";"Land Schleswig-Holstein";"P1Y/2018-12-31";"2018-12-31";"kt/year";114;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DEG";"Freistaat Thüringen";"P1Y/2018-12-31";"2018-12-31";"kt/year";38.1;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DE1";"Land Baden-Württemberg";"P1Y/2018-12-31";"2018-12-31";"kt/year";100.1;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DE2";"Freistaat Bayern";"P1Y/2018-12-31";"2018-12-31";"kt/year";308.4;1;1002
597651811;"RGN_DEU_P1Y_CH4_E_R_1002";"annually reported emissions of methane (CH4) from sector Agriculture";"DE3";"Land Berlin";"P1Y/2018-12-31";"2018-12-31";"kt/year";0.2;1;1002
