Jahr;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen-Anhalt;Sachsen;Schleswig-Holstein;Thueringen;Deutschland;Süd_mean;Nord_mean
1881;7,66;6,61;7,55;7,54;7,54;7,33;7,49;6,96;7,54;8,14;7,97;8,28;7,46;6,71;7,12;6,66;7,31;7,45;7,56
1882;8,08;7,33;8,99;8,97;8,88;8,83;8,25;8,54;8,88;9,03;8,55;8,79;8,81;8,12;8,78;7,77;8,34;8,13;8,91
1883;7,77;6,85;8,42;8,41;8,39;8,29;7,96;7,95;8,39;8,71;8,26;8,51;8,32;7,46;8,18;7,31;7,88;7,78;8,41
1884;8,44;7,52;9,11;9,10;9,10;8,98;8,58;8,73;9,09;9,39;8,94;9,18;8,94;8,21;8,86;7,89;8,57;8,43;9,08
1885;7,82;7,04;8,40;8,39;7,94;7,78;7,66;7,68;7,94;8,31;8,01;8,30;8,07;7,73;7,62;7,16;7,74;7,67;8,12
1886;8,13;7,27;8,51;8,50;8,21;8,02;8,07;7,87;8,21;8,71;8,45;8,69;8,36;7,85;7,83;7,42;8,02;8,01;8,35
1887;6,74;5,92;7,76;7,75;7,42;7,38;6,75;7,36;7,42;7,60;7,13;7,32;7,50;6,72;7,34;6,22;6,95;6,68;7,56
1888;6,96;6,17;7,40;7,39;7,12;6,90;6,79;6,75;7,11;7,44;7,11;7,32;7,29;6,66;6,69;6,22;6,85;6,76;7,22
1889;7,11;6,39;8,14;8,12;7,96;7,85;7,30;7,59;7,96;8,05;7,45;7,62;7,96;7,11;7,73;6,73;7,38;7,10;7,99
1890;7,03;6,45;8,13;8,12;7,68;7,65;7,25;7,56;7,68;7,78;7,41;7,64;7,85;7,20;7,62;6,69;7,31;7,08;7,86
1891;7,23;6,47;8,22;8,21;7,85;7,73;7,38;7,59;7,84;8,07;7,52;7,73;8,00;7,36;7,61;6,85;7,43;7,20;7,99
1892;7,78;6,88;7,95;7,94;7,63;7,38;7,47;7,17;7,63;8,17;7,85;8,07;7,89;7,36;7,12;6,92;7,50;7,50;7,78
1893;8,09;6,98;8,26;8,25;8,29;8,07;7,96;7,62;8,29;8,82;8,39;8,68;8,32;7,63;7,85;7,27;7,91;7,90;8,30
1894;7,99;7,20;8,71;8,70;8,61;8,51;8,06;8,19;8,60;8,86;8,30;8,53;8,63;7,94;8,41;7,46;8,13;7,92;8,65
1895;7,33;6,39;8,03;8,02;7,65;7,50;7,21;7,37;7,64;7,91;7,49;7,79;7,84;7,30;7,35;6,68;7,31;7,15;7,80
1896;7,38;6,40;8,33;8,32;8,16;8,12;7,55;7,94;8,16;8,25;7,80;8,03;8,10;7,39;8,08;6,83;7,58;7,33;8,21
1897;8,21;7,08;8,29;8,28;8,25;8,11;7,95;7,86;8,25;8,59;8,31;8,60;8,33;7,85;7,97;7,34;7,95;7,92;8,29
1898;8,59;7,63;9,05;9,05;8,87;8,69;8,47;8,36;8,86;9,10;8,68;8,93;9,01;8,63;8,51;7,94;8,50;8,37;8,93
1899;8,27;7,01;8,59;8,58;8,56;8,47;8,08;8,13;8,55;8,77;8,40;8,67;8,56;7,91;8,38;7,39;8,09;7,97;8,57
1900;8,54;7,46;8,83;8,81;8,75;8,55;8,35;8,25;8,75;8,88;8,69;8,97;8,81;8,26;8,35;7,75;8,35;8,29;8,74
1901;7,41;6,80;8,33;8,32;8,12;8,03;7,50;7,76;8,11;8,27;7,91;8,07;8,10;7,50;7,94;6,72;7,64;7,40;8,18
1902;7,53;6,83;7,26;7,25;7,34;7,16;7,26;6,58;7,34;7,73;7,70;7,92;7,27;6,91;6,97;6,36;7,17;7,27;7,30
1903;8,08;7,56;8,98;8,97;8,82;8,61;8,31;8,23;8,82;8,89;8,47;8,56;8,98;8,43;8,39;7,85;8,35;8,14;8,84
1904;8,45;7,81;8,84;8,83;8,60;8,40;8,30;8,02;8,60;8,79;8,60;8,74;8,81;8,29;8,20;7,82;8,36;8,29;8,68
