Jahr;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen-Anhalt;Sachsen;Schleswig-Holstein;Thueringen;Deutschland;Süd_mean;Nord_mean
1951;29,12;23,88;12,63;12,63;20,55;23,29;19,54;15,75;20,49;25,35;24,03;29,07;13,43;14,19;26,08;17,68;21,11;26,50;21,23
1952;33,99;30,45;10,32;10,36;16,87;17,67;22,72;11,74;16,94;23,55;26,07;33,04;14,05;17,56;18,39;21,23;22,14;32,22;16,32
1953;21,70;19,37;9,75;9,74;13,18;15,08;13,06;10,37;13,21;16,06;12,53;11,36;9,47;14,11;16,95;13,67;15,03;20,54;13,76
1954;30,54;29,61;14,69;14,67;23,08;24,12;21,04;15,68;23,04;27,95;20,93;24,10;16,11;23,22;25,20;19,89;23,71;30,08;22,22
1955;29,11;28,82;13,39;13,41;17,18;16,08;19,16;13,37;17,20;21,29;18,75;25,22;14,89;19,83;14,96;19,21;20,77;28,97;15,76
1956;29,37;29,62;16,23;16,19;20,63;19,56;24,68;14,95;20,68;27,22;22,13;24,90;16,71;21,97;18,44;21,64;23,32;29,50;18,85
1957;26,79;28,03;12,83;12,86;22,09;21,26;21,80;11,42;22,14;28,58;20,17;26,91;14,10;19,29;20,38;17,84;21,91;27,41;19,46
1958;35,53;33,91;11,89;11,89;20,56;20,76;26,68;14,10;20,60;28,44;26,13;40,44;14,35;20,04;20,91;22,30;24,83;34,72;19,39
1959;22,69;20,97;10,58;10,57;7,36;8,43;11,99;8,84;7,32;11,25;13,73;16,64;7,85;13,64;9,54;11,81;13,69;21,83;8,30
1960;28,19;26,25;14,46;14,47;20,07;21,63;23,99;19,49;20,10;27,87;21,39;31,86;14,20;19,27;23,15;19,47;22,45;27,22;20,89
1961;29,62;26,77;15,73;15,74;27,45;24,41;27,52;16,07;27,53;33,26;22,68;29,86;17,07;19,04;21,28;21,49;24,53;28,20;23,35
1962;24,79;24,40;9,37;9,31;15,66;18,56;16,44;11,01;15,69;20,91;16,46;20,14;8,36;11,69;21,42;12,45;17,57;24,60;16,47
1963;26,59;24,73;9,75;9,73;14,27;15,74;17,49;12,50;14,30;18,17;16,35;24,78;8,83;11,83;17,18;15,53;17,58;25,66;14,80
1964;23,25;22,64;9,52;9,54;11,64;12,89;14,56;9,72;11,67;16,55;16,55;20,95;8,34;12,59;14,11;12,04;15,65;22,95;12,01
1965;42,03;35,78;16,13;16,10;22,47;24,99;30,06;17,98;22,43;32,82;30,84;42,68;14,65;22,22;27,54;22,11;28,03;38,91;23,08
1966;34,18;37,03;15,54;15,46;24,05;25,75;31,11;15,23;24,11;34,38;29,38;34,25;16,62;23,97;27,38;26,02;27,91;35,61;23,30
1967;29,08;27,37;15,91;15,92;19,52;20,58;24,53;16,22;19,58;24,33;24,88;32,46;14,91;21,23;21,58;18,80;22,54;28,23;19,50
1968;36,79;27,99;12,78;12,81;18,47;19,48;22,70;15,89;18,44;22,62;23,84;30,26;11,45;14,20;20,52;20,28;22,12;32,39;18,56
1969;29,74;23,32;11,53;11,54;16,64;18,23;19,13;11,14;16,63;21,08;19,09;26,16;12,43;16,38;19,83;19,03;19,25;26,53;16,49
1970;31,25;32,31;10,85;10,92;20,07;21,15;22,29;16,24;20,06;27,15;22,00;29,89;15,63;21,37;22,23;20,85;23,51;31,78;19,95
1971;21,36;22,65;9,05;9,03;11,78;11,97;16,03;7,70;11,81;16,46;15,88;19,46;9,11;14,69;12,13;13,13;15,45;22,01;11,08
1972;25,21;22,53;11,67;11,71;16,98;16,98;20,41;14,26;16,98;20,85;17,93;21,38;14,94;13,95;16,97;19,74;18,78;23,87;16,43
1973;27,71;24,36;8,93;8,94;15,19;17,83;15,78;11,39;15,15;17,98;16,13;20,47;7,66;14,53;20,51;15,17;17,64;26,04;16,01
1974;31,61;33,48;15,92;15,86;16,73;18,07;24,10;14,26;16,68;27,88;21,06;25,13;12,18;25,97;19,45;21,57;23,67;32,55;17,04
1975;27,02;25,84;8,74;8,73;14,10;13,55;17,44;10,23;14,11;18,36;18,28;20,62;8,28;13,74;12,98;14,11;17,50;26,43;12,99
1976;23,12;22,04;7,22;7,28;13,50;13,13;12,38;11,44;13,51;15,14;14,74;17,96;6,75;12,17;12,75;11,58;15,11;22,58;12,87
1977;31,79;30,11;14,12;14,08;17,45;19,00;22,67;12,55;17,42;22,52;23,35;33,24;17,02;20,14;20,57;23,43;22,56;30,95;17,40
1978;31,69;28,45;10,65;10,71;18,53;18,99;18,05;11,46;18,54;22,57;21,49;31,49;10,96;17,95;19,44;15,63;20,75;30,07;17,39
1979;29,15;29,83;11,86;11,82;17,02;18,52;22,32;11,05;17,02;23,67;25,56;35,14;11,97;18,29;20,01;17,31;21,42;29,49;16,72
1980;30,29;29,80;13,96;13,91;19,38;23,66;21,59;15,81;19,35;24,05;25,99;36,66;12,86;20,18;27,96;17,43;22,87;30,05;21,23
1981;35,69;35,51;16,13;16,16;23,30;23,97;29,05;15,55;23,31;30,69;29,15;36,51;16,76;28,33;24,62;24,95;27,33;35,60;22,15
1982;32,46;26,56;7,13;7,16;14,92;16,15;19,74;7,84;14,97;21,90;24,27;32,56;6,75;10,09;17,32;11,68;18,71;29,51;14,24
1983;28,93;27,37;12,70;12,69;18,79;20,23;20,27;14,69;18,75;22,71;22,22;28,31;14,13;16,97;21,71;17,20;21,14;28,15;18,83
1984;30,35;27,05;11,83;11,86;20,75;21,94;26,33;13,36;20,80;29,72;28,42;35,97;13,65;16,04;23,08;20,90;22,90;28,70;19,99
1985;26,80;26,56;6,40;6,42;15,13;17,76;17,02;8,78;15,12;20,85;17,46;20,74;7,29;11,04;20,39;13,85;17,75;26,68;15,44
