Jahr;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen-Anhalt;Sachsen;Schleswig-Holstein;Thueringen;Deutschland;Nord_mean;Süd_mean
1951;1711,6;1712,5;1892,6;1893,9;1645,9;1691,0;1624,3;1904,0;1643,4;1567,6;1650,8;1751,1;1685,9;1842,9;1738,5;1632,0;1711,7;1724,6;1712,1
1952;1712,1;1577,7;1653,4;1654,0;1486,5;1549,1;1517,5;1714,3;1484,9;1432,2;1589,8;1746,0;1562,6;1607,6;1613,2;1480,8;1576,7;1569,6;1644,9
1953;1906,9;1889,9;1919,9;1919,1;1610,1;1651,8;1765,0;1876,9;1609,5;1562,3;1716,7;1917,5;1740,7;1892,9;1694,1;1741,9;1783,9;1688,5;1898,4
1954;1588,6;1580,4;1676,4;1676,5;1483,6;1497,7;1535,6;1619,1;1483,9;1448,8;1555,6;1658,7;1574,2;1665,1;1511,5;1502,5;1560,4;1519,2;1584,5
1955;1659,1;1606,9;1734,0;1732,8;1627,8;1725,1;1585,7;1783,4;1626,2;1538,5;1658,8;1833,7;1558,6;1589,6;1824,0;1469,6;1633,7;1717,3;1633,0
1956;1604,9;1597,7;1621,3;1623,2;1430,7;1562,6;1452,1;1701,6;1428,5;1302,9;1478,2;1687,9;1478,7;1551,9;1696,7;1402,0;1528,5;1564,0;1601,3
1957;1731,0;1668,1;1695,3;1696,1;1549,5;1633,2;1610,0;1688,4;1548,1;1512,8;1684,1;1864,2;1577,9;1666,8;1718,3;1570,1;1638,8;1627,5;1699,6
1958;1654,1;1629,1;1583,2;1583,0;1388,6;1479,9;1465,2;1584,2;1387,4;1392,5;1534,8;1607,0;1436,2;1509,2;1572,4;1432,8;1526,2;1482,5;1641,6
1959;2021,4;1993,6;2007,3;2009,0;1899,6;1991,9;2003,3;2041,1;1898,7;1953,4;1993,6;2112,7;1919,7;2007,5;2085,0;1956,5;1984,0;1983,3;2007,5
1960;1559,2;1579,6;1587,0;1587,8;1331,1;1429,3;1412,5;1629,0;1329,4;1319,4;1408,8;1435,5;1441,8;1541,6;1529,2;1398,5;1482,4;1449,6;1569,4
1961;1742,2;1708,3;1637,5;1638,2;1358,1;1502,6;1457,7;1693,2;1356,2;1337,2;1522,8;1670,5;1468,6;1577,1;1648,9;1452,9;1562,2;1511,8;1725,3
1962;1847,2;1771,5;1504,4;1506,0;1301,7;1406,9;1549,6;1529,3;1301,7;1279,8;1644,0;1815,1;1455,9;1547,1;1512,1;1520,3;1558,1;1410,3;1809,4
1963;1627,0;1665,7;1783,8;1784,9;1487,1;1516,7;1538,4;1747,9;1488,1;1456,2;1548,5;1633,9;1616,9;1674,6;1545,2;1603,9;1608,6;1557,0;1646,4
1964;1731,8;1723,6;1760,2;1759,1;1560,7;1592,2;1648,1;1753,7;1561,2;1588,2;1650,2;1714,1;1654,5;1724,4;1623,1;1678,7;1675,6;1618,2;1727,7
1965;1427,9;1462,3;1583,5;1583,1;1405,3;1488,0;1321,8;1620,4;1404,0;1330,2;1386,2;1442,1;1486,7;1514,3;1571,9;1419,0;1453,4;1497,9;1445,1
1966;1543,1;1478,4;1496,0;1496,7;1347,8;1408,4;1349,6;1546,7;1347,0;1299,9;1440,9;1528,2;1419,1;1444,8;1469,8;1369,6;1436,7;1423,9;1510,8
1967;1770,8;1736,3;1694,9;1695,4;1492,5;1540,9;1556,8;1722,0;1492,2;1514,3;1646,7;1741,0;1581,4;1604,6;1589,5;1548,6;1635,1;1567,4;1753,6
1968;1559,2;1580,1;1676,1;1676,3;1492,9;1583,8;1424,8;1740,0;1490,7;1375,9;1409,8;1473,4;1547,7;1558,5;1676,9;1487,8;1543,1;1596,9;1569,7
1969;1609,1;1671,2;1677,2;1677,6;1454,2;1533,9;1440,7;1684,8;1453,0;1457,8;1463,0;1496,9;1516,9;1642,7;1614,7;1513,4;1570,5;1548,1;1640,2
1970;1487,0;1484,9;1593,2;1593,6;1434,4;1539,8;1356,2;1676,4;1432,5;1410,9;1427,6;1486,1;1443,3;1461,9;1647,0;1373,1;1480,6;1546,0;1486,0
1971;1816,8;1827,2;1762,8;1762,2;1541,3;1595,2;1646,8;1744,8;1540,9;1615,2;1702,9;1783,5;1629,5;1692,0;1649,4;1676,5;1705,7;1614,3;1822,0
1972;1579,7;1576,0;1594,7;1594,2;1469,9;1544,3;1447,7;1647,4;1468,0;1438,6;1498,8;1574,5;1482,1;1523,8;1620,5;1480,1;1532,9;1550,0;1577,9
1973;1665,6;1673,9;1683,1;1683,7;1547,0;1622,0;1619,6;1765,7;1544,7;1565,8;1684,3;1758,3;1603,2;1639,1;1699,2;1606,5;1642,7;1635,7;1669,8
